time_s,current_a,voltage_mv,true_soc_pct
0.0,0.5,3421.81,20.0
0.1,1.0,3424.24,20.0001
0.2,1.5,3427.14,20.0001
0.3,2.0,3433.84,20.0002
0.4,2.5,3432.36,20.0003
0.5,3.0,3428.21,20.0005
0.6,3.5,3440.08,20.0006
0.7,4.0,3439.84,20.0008
0.8,4.5,3442.89,20.001
0.9,5.0,3447.37,20.0013
1.0,5.5,3450.81,20.0015
1.1,6.0,3458.35,20.0018
1.2,6.5,3458.73,20.0021
1.3,7.0,3458.94,20.0024
1.4,7.5,3457.67,20.0028
1.5,8.0,3459.29,20.0031
1.6,8.5,3468.63,20.0035
1.7,9.0,3477.01,20.004
1.8,9.5,3473.76,20.0044
1.9,10.0,3476.13,20.0049
2.0,10.5,3482.47,20.0053
2.1,11.0,3475.72,20.0059
2.2,11.5,3484.63,20.0064
2.3,12.0,3491.87,20.0069
2.4,12.5,3497.05,20.0075
2.5,13.0,3494.76,20.0081
2.6,13.5,3501.16,20.0087
2.7,14.0,3503.86,20.0094
2.8,14.5,3509.89,20.0101
2.9,15.0,3503.81,20.0108
3.0,15.5,3515.63,20.0115
3.1,16.0,3508.66,20.0122
3.2,16.5,3506.6,20.013
3.3,17.0,3520.16,20.0138
3.4,17.5,3522.14,20.0146
3.5,18.0,3534.64,20.0154
3.6,18.5,3537.16,20.0163
3.7,19.0,3531.33,20.0171
3.8,19.5,3545.28,20.018
3.9,20.0,3539.68,20.019
4.0,20.5,3547.93,20.0199
4.1,21.0,3550.58,20.0209
4.2,21.5,3556.34,20.0219
4.3,22.0,3563.59,20.0229
4.4,22.5,3566.45,20.0239
4.5,23.0,3568.8,20.025
4.6,23.5,3574.1,20.0261
4.7,24.0,3577.08,20.0272
4.8,24.5,3575.4,20.0283
4.9,25.0,3578.82,20.0295
5.0,25.5,3583.96,20.0307
5.1,26.0,3592.72,20.0319
5.2,26.5,3592.92,20.0331
5.3,27.0,3609.81,20.0343
5.4,27.5,3598.02,20.0356
5.5,28.0,3600.62,20.0369
5.6,28.5,3613.98,20.0382
5.7,29.0,3621.3,20.0396
5.8,29.5,3620.78,20.0409
5.9,30.0,3626.52,20.0423
6.0,30.0,3631.05,20.0437
6.1,30.0,3625.01,20.0451
6.2,30.0,3619.91,20.0465
6.3,30.0,3625.9,20.0479
6.4,30.0,3634.85,20.0493
6.5,30.0,3624.38,20.0506
6.6,30.0,3633.27,20.052
6.7,30.0,3635.85,20.0534
6.8,30.0,3634.48,20.0548
6.9,30.0,3641.14,20.0562
7.0,30.0,3641.87,20.0576
7.1,30.0,3652.02,20.059
7.2,30.0,3644.93,20.0604
7.3,30.0,3640.2,20.0617
7.4,30.0,3641.84,20.0631
7.5,30.0,3641.89,20.0645
7.6,30.0,3652.18,20.0659
7.7,30.0,3645.96,20.0673
7.8,30.0,3649.8,20.0687
7.9,30.0,3655.24,20.0701
8.0,30.0,3649.21,20.0715
8.1,30.0,3652.69,20.0728
8.2,30.0,3646.26,20.0742
8.3,30.0,3651.36,20.0756
8.4,30.0,3655.22,20.077
8.5,30.0,3661.42,20.0784
8.6,30.0,3666.58,20.0798
8.7,30.0,3661.78,20.0812
8.8,30.0,3664.43,20.0826
8.9,30.0,3665.2,20.0839
9.0,30.0,3671.02,20.0853
9.1,30.0,3671.28,20.0867
9.2,30.0,3669.39,20.0881
9.3,30.0,3664.17,20.0895
9.4,30.0,3674.93,20.0909
